FSC-H,SSC-H,FITC-H,PI-H,PerCP-H,APC-H,FSC-A,SSC-A,FITC-A,PI-A,PerCP-A,APC-A,Width,Time
1179884,2334776,17097,1141424,4325797,7936,638044,1292149,28155,1619879,6231832,13495,90,111.800
1103346,2454536,16651,899821,3399029,4750,682650,1556918,36654,1792397,6841715,1036,90,111.800
642231,1751661,10601,697032,2665535,2544,382788,829316,18922,1045344,4021810,-6986,73,111.800
733349,1397855,11620,747183,2893462,4766,438615,642270,18685,1001734,3910360,5951,70,111.800
583703,1385510,10900,645257,2476628,3294,323832,767649,19133,1057416,4056677,-3067,83,111.800
1140276,3946046,29568,1891456,7180399,16233,938786,2593812,68136,3643666,1.405963E+07,28845,101,111.800
400481,1846634,11089,641511,2468655,12477,286070,1025718,21021,1096356,4218189,15118,83,116.800
737025,1856989,14148,725085,2835874,9259,542438,1046940,26572,1263025,4946472,25380,81,116.800
717149,1676000,10671,547274,2101206,7297,405800,798391,19219,988082,3817409,25993,79,116.800
709977,2144361,15890,957081,3640294,7532,489224,1290090,32672,1914826,7358638,11057,93,116.800
1256481,4776290,20450,847541,3330845,6340,989068,3172599,53658,2054954,8112768,12508,101,116.800
1798603,3405802,17232,1017958,3945548,5545,2373361,3916419,73370,2993279,1.181741E+07,-2622,158,116.800
1129620,3155914,22896,961183,3733206,5769,799171,1765933,43648,1843876,7170377,1365,88,116.800
998706,2649064,11797,573643,2209895,4659,559988,1523318,22645,1060851,4134275,5655,91,116.800
582014,1512117,8895,538709,2093299,5404,361787,793455,17095,968602,3802257,13998,77,121.800
717518,1707346,12804,689192,2659480,7799,424283,846290,21312,1047534,4056660,20171,76,121.800
458323,1250413,9230,617679,2368083,4435,237889,594462,15671,1031163,3990992,7193,76,121.800
446285,851093,3479,19966,99692,931,177858,316351,4415,30688,160183,-430,64,121.800
894863,2455394,19252,1149445,4431351,7868,692214,1545232,37706,1930678,7523641,19492,89,121.800
1157596,3344846,24889,1447014,5617716,7462,1175859,2973856,59467,2790352,1.099782E+07,10732,108,121.800
1161627,2485427,13475,663720,2528789,4506,627755,1161238,25976,1005628,3863242,7648,76,121.800
