FSC-H,SSC-H,FITC-H,PE-H,FSC-A,SSC-A,FITC-A,PE-A,Width,Time
614161,1026530,9672,442003,353022,554262,22197,1039354,73,27621.801
138644,324983,1549,6554,59070,120755,2199,8696,53,27621.801
694359,2009834,15292,736908,546029,1317791,42053,2058584,105,27626.801
474051,1366261,14099,829155,324606,908625,36926,2132738,92,27626.801
761020,2197451,17769,805408,458525,1125613,44661,2077053,88,27646.801
932273,1825927,19200,972840,630297,1100413,42278,2134524,95,27646.801
522315,1535545,19291,1044511,335865,892214,59621,3833142,112,27646.801
1072287,2495269,15199,707253,588648,1164422,40617,1979457,102,27646.801
755814,1930809,17066,945497,571784,1294185,40385,2095404,87,27651.801
911194,2028719,19579,992615,456696,1005665,40414,2084674,83,27651.801
693392,833683,6408,347621,469247,841685,32477,1892521,150,27651.801
625579,858082,8480,435754,375667,654039,22311,1067260,87,27651.801
1218271,2228880,11298,550015,617420,1185244,37514,2054633,167,27661.801
533723,1765312,12603,536519,315446,891731,24094,1091521,87,27661.801
391136,963425,9487,488151,363177,740921,36089,2018026,142,27661.801
824170,1527247,14262,778143,478352,1067270,40157,2139755,96,27666.801
1287619,2179747,20221,1115376,773703,1238065,42979,2050533,87,27671.801
620652,1368365,14463,815302,525346,863982,34985,1939655,92,27671.801
816111,1196286,12851,784837,557159,960845,38174,2112009,89,27671.801
1048532,2035868,6362,52989,508752,888375,11604,85139,64,27671.801
418928,2010055,16281,1000586,337960,1120115,40089,2097848,81,27671.801
927891,1443996,13718,731458,656138,1219572,42845,2092064,100,27676.801
367555,719066,7801,491620,550438,1081973,39545,2285196,174,27686.801
524689,2089221,21365,977843,308391,1054790,41566,2066597,64,27691.801
1238303,2082006,17153,873416,656024,1020024,40386,2136749,91,27691.801
1135948,2068897,16410,693342,579673,1115449,41875,2038987,98,27696.801
1616761,1686061,13637,653103,1158694,1093411,34277,1113679,91,27696.801
780251,2049663,13062,440634,455743,1036187,26849,1053573,84,27696.801
121820,107530,293,6789,31407,24223,68,11830,32,27696.801
803798,2751433,18414,1038160,572546,1581934,45239,2095245,85,27696.801
