seq,xcol, ycol
573,0.0, 143.0
574,177.0, 277.0
575,1008.0, 195.0
576,2209.0, 0.0
577,0.0, 36.0
578,1149.0, 385.0
579,0.0, 0.0
580,0.0, 0.0
581,443.0, 697.0
582,1324.0, 0.0
583,3101.0, 1324.0
584,441.0, 0.0
585,0.0, 160.0
586,72.0, 0.0
587,2275.0, 80.0
588,0.0, 0.0
589,0.0, 8.0
590,0.0, 0.0
591,0.0, 999.0
592,0.0, 0.0
593,261.0, 559.0
594,146.0, 400.0
595,459.0, 305.0
596,0.0, 288.0
597,0.0, 569.0
598,1377.0, 0.0
599,742.0, 0.0
600,0.0, 138.0
601,0.0, 0.0
602,317.0, 0.0
603,277.0, 113.0
604,1209.0, 0.0
605,2992.0, 25.0
606,0.0, 672.0
607,170.0, 269.0
608,234.0, 9.0
609,0.0, 0.0
610,0.0, 0.0
611,898.0, 0.0
612,272.0, 59.0
613,0.0, 0.0
614,0.0, 119.0
615,0.0, 396.0
616,599.0, 0.0
617,1020.0, 0.0
618,1514.0, 768.0
619,0.0, 0.0
620,66.0, 0.0
621,173.0, 18.0
622,1068.0, 0.0
623,0.0, 133.0
624,0.0, 0.0
625,0.0, 0.0
626,490.0, 115.0
627,0.0, 244.0
628,727.0, 0.0
629,0.0, 475.0
630,348.0, 0.0
631,0.0, 0.0
632,1905.0, 212.0
633,124.0, 0.0
634,735.0, 22.0
635,0.0, 0.0
636,0.0, 0.0
637,0.0, 870.0
638,488.0, 719.0
639,0.0, 0.0
640,4064.0, 604.0
641,538.0, 27.0
642,550.0, 174.0
643,0.0, 0.0
644,0.0, 1389.0
645,174.0, 0.0
646,388.0, 668.0
647,244.0, 163.0
648,0.0, 206.0
649,0.0, 178.0
650,0.0, 195.0
651,42.0, 234.0
652,0.0, 0.0
653,0.0, 0.0
654,1008.0, 0.0
655,644.0, 0.0
656,0.0, 153.0
657,13.0, 0.0
658,0.0, 0.0
659,0.0, 0.0
660,0.0, 0.0
661,0.0, 0.0
662,1391.0, 174.0
663,0.0, 0.0
664,1567.0, 0.0
665,1038.0, 200.0
666,1607.0, 1700.0
667,0.0, 1.0
668,0.0, 0.0
669,0.0, 0.0
670,614.0, 202.0
671,0.0, 0.0
672,0.0, 104.0
673,512.0, 514.0
674,626.0, 265.0
675,467.0, 0.0
676,1538.0, 454.0
677,0.0, 238.0
678,133.0, 542.0
679,672.0, 425.0
680,542.0, 253.0
681,0.0, 69.0
682,224.0, 0.0
683,0.0, 18.0
684,3898.0, 0.0
685,0.0, 0.0
686,623.0, 2235.0
687,0.0, 272.0
688,1815.0, 10895.0
689,144.0, 146.0
690,540.0, 253.0
691,1090.0, 226.0
692,0.0, 410.0
693,0.0, 266.0
694,356.0, 108.0
695,0.0, 34.0
696,305.0, 0.0
697,0.0, 0.0
698,554.0, 263.0
699,0.0, 0.0
700,0.0, 0.0
701,0.0, 0.0
702,612.0, 82.0
703,638.0, 0.0
