seq,xcol, ycol
673,564.0, 0.0
674,1148.0, 718.0
675,472.0, 329.0
676,563.0, 0.0
677,693.0, 43.0
678,585.0, 0.0
679,1069.0, 933.0
680,666.0, 0.0
681,868.0, 379.0
682,528.0, 330.0
683,596.0, 0.0
684,605.0, 256.0
685,617.0, 114.0
686,1736.0, 8759.0
687,856.0, 0.0
688,1391.0, 0.0
689,570.0, 0.0
690,748.0, 48033.0
691,1025.0, 167.0
692,477.0, 2770.0
693,825.0, 0.0
694,1060.0, 0.0
695,1205.0, 746.0
696,771.0, 0.0
697,614.0, 25.0
698,700.0, 0.0
699,630.0, 0.0
700,634.0, 796.0
701,739.0, 0.0
702,676.0, 15.0
703,669.0, 192.0
704,38304.0, 6974.0
705,1009.0, 590.0
706,1231.0, 0.0
707,639.0, 327.0
708,13463.0, 506.0
709,717.0, 0.0
710,509.0, 263.0
711,4241.0, 0.0
712,1613.0, 1086.0
713,498.0, 0.0
714,1542.0, 259.0
715,10065.0, 0.0
716,782.0, 157.0
717,19509.0, 110.0
718,1240.0, 0.0
719,1632.0, 1391.0
720,1383.0, 0.0
721,897.0, 44.0
722,1040.0, 0.0
723,6971.0, 0.0
724,552.0, 69.0
725,7398.0, 0.0
726,529.0, 217.0
727,967.0, 0.0
728,757.0, 920.0
729,646.0, 389.0
730,7364.0, 2154.0
731,698.0, 186.0
732,474.0, 0.0
733,599.0, 895.0
734,617.0, 0.0
735,3526.0, 0.0
736,55191.0, 0.0
737,655.0, 0.0
738,576.0, 0.0
739,561.0, 0.0
740,15227.0, 733.0
741,4350.0, 1481.0
742,4340.0, 1181.0
743,10463.0, 894.0
744,482.0, 0.0
745,1040.0, 0.0
746,481.0, 365.0
747,837.0, 704.0
748,782.0, 580.0
749,17758.0, 0.0
750,598.0, 0.0
751,720.0, 0.0
752,17528.0, 1134.0
753,1695.0, 0.0
754,818.0, 154.0
755,971.0, 0.0
756,24118.0, 657.0
757,566.0, 57.0
758,668.0, 0.0
759,640.0, 213.0
760,622.0, 0.0
761,687.0, 2348.0
762,2830.0, 0.0
763,1359.0, 206.0
764,4689.0, 354.0
765,5398.0, 233.0
766,735.0, 203.0
767,634.0, 114.0
768,799.0, 0.0
769,675.0, 431.0
770,560.0, 0.0
771,622.0, 0.0
772,904.0, 2194.0
773,563.0, 0.0
774,606.0, 145.0
775,1035.0, 0.0
776,487.0, 177.0
777,2592.0, 4728.0
778,789.0, 20.0
779,789.0, 429.0
780,475.0, 0.0
781,630.0, 0.0
782,1440.0, 926.0
783,733.0, 121.0
784,649.0, 319.0
785,679.0, 25.0
786,755.0, 0.0
787,6438.0, 740.0
788,570.0, 291.0
789,720.0, 0.0
790,732.0, 2119.0
791,555.0, 0.0
792,865.0, 0.0
793,557.0, 6108.0
794,736.0, 0.0
795,50768.0, 1389.0
796,5754.0, 407.0
797,580.0, 101.0
798,577.0, 217.0
799,563.0, 0.0
800,6279.0, 460.0
801,755.0, 1230.0
802,1712.0, 185.0
803,1043.0, 1123.0
804,522.0, 0.0
805,802.0, 46.0
806,748.0, 1544.0
807,716.0, 0.0
808,691.0, 1585.0
809,659.0, 0.0
810,974.0, 0.0
811,497.0, 452.0
812,780.0, 438.0
813,1988.0, 4837.0
814,2130.0, 3915.0
815,681.0, 181.0
816,571.0, 213.0
817,478.0, 113.0
818,663.0, 323.0
819,833.0, 164.0
820,599.0, 0.0
821,790.0, 0.0
822,5148.0, 239.0
823,27163.0, 1358.0
824,522.0, 0.0
825,779.0, 86.0
826,462.0, 0.0
827,897.0, 0.0
828,554.0, 0.0
829,2363.0, 60198.0
830,92204.0, 941.0
831,875.0, 0.0
832,509.0, 0.0
833,3564.0, 198783.0
834,5526.0, 0.0
835,1749.0, 7202.0
836,1151.0, 213.0
837,710.0, 160.0
838,555.0, 0.0
839,3818.0, 823.0
840,12179.0, 32229.0
841,806.0, 591.0
842,722.0, 0.0
843,687.0, 358.0
844,1183.0, 0.0
845,54796.0, 1209.0
846,547.0, 0.0
847,512.0, 0.0
848,558.0, 1635.0
849,27955.0, 1698.0
850,927.0, 0.0
851,901.0, 0.0
852,659.0, 620.0
853,503.0, 0.0
854,63032.0, 0.0
855,474.0, 406.0
856,1375.0, 198.0
857,5595.0, 0.0
858,970.0, 0.0
859,617.0, 0.0
860,720.0, 0.0
861,503.0, 103.0
862,596.0, 46.0
863,765.0, 163.0
864,636.0, 433.0
865,5039.0, 241.0
866,1086.0, 0.0
867,888.0, 125.0
868,656.0, 241.0
869,730.0, 69.0
870,2325.0, 962.0
871,674.0, 132.0
872,1472.0, 0.0
873,4474.0, 106.0
874,6127.0, 447.0
875,512.0, 4319.0
876,857.0, 0.0
877,833.0, 0.0
878,1559.0, 54.0
879,1200.0, 1455.0
880,608.0, 0.0
881,3586.0, 703.0
882,3657.0, 0.0
883,469.0, 0.0
884,547.0, 348.0
885,990.0, 168.0
886,533.0, 122.0
887,1460.0, 5417.0
888,516.0, 0.0
889,533.0, 219.0
890,44191.0, 2087.0
891,620.0, 0.0
892,764.0, 3697.0
893,1297.0, 348.0
894,2207.0, 86.0
895,700.0, 0.0
896,776.0, 62.0
897,608.0, 0.0
898,2052.0, 0.0
899,63926.0, 639.0
900,754.0, 0.0
901,1447.0, 647.0
902,589.0, 196.0
903,932.0, 1074.0
904,672.0, 168.0
905,545.0, 0.0
906,1044.0, 0.0
907,666.0, 0.0
908,7938.0, 807.0
909,1403.0, 0.0
910,618.0, 89.0
911,649.0, 2448.0
912,2073.0, 626.0
913,558.0, 212.0
914,634.0, 0.0
915,636.0, 4.0
916,885.0, 50.0
917,4980.0, 387.0
918,2847.0, 337.0
919,1291.0, 479.0
920,478.0, 0.0
921,585.0, 0.0
922,3059.0, 340.0
923,598.0, 0.0
924,474.0, 0.0
925,1130.0, 306.0
926,601.0, 0.0
927,4944.0, 0.0
928,631.0, 457.0
929,887.0, 512.0
930,567.0, 0.0
931,852.0, 470.0
